"Site Name","Source Link"
"BBC","http://www.bbc.com/news/"
"North America","http://www.bbc.com/news/world/us_and_canada/"
"Central & South America","http://www.bbc.com/news/world/latin_america/"
"Europe","http://www.bbc.com/news/world/europe/"
"Africa","http://www.bbc.com/news/world/africa/"
"Middle East","http://www.bbc.com/news/world/middle_east/"
"Asia","http://www.bbc.com/news/world/asia/"
,
"New York Times","http://www.nytimes.com/"
"US","http://www.nytimes.com/pages/national/index.html"
"World","http://www.nytimes.com/pages/world/index.html"
,
"Washington Post","http://www.washingtonpost.com/"
"World","http://www.washingtonpost.com/world/"
"National Security","http://www.washingtonpost.com/world/national-security/"
"Africa","http://www.washingtonpost.com/world/africa/"
"Americas","http://www.washingtonpost.com/world/americas/"
"Asia & Pacific","http://www.washingtonpost.com/world/asia-pacific/"
"Europe","http://www.washingtonpost.com/world/europe/"
"Middle East","http://www.washingtonpost.com/world/middle-east/"
,
"CNN","http://www.cnn.com/"
"US","http://www.cnn.com/US/?hpt=sitenav"
"World","http://www.cnn.com/WORLD/?hpt=sitenav"
"Asia","http://www.cnn.com/ASIA/"
"Americas","http://www.cnn.com/WORLD/americas/archive/?hpt=wo_bn5"
"Europe","http://www.cnn.com/EUROPE/"
"Africa","http://www.cnn.com/AFRICA/"
"Middle East","http://www.cnn.com/MIDDLEEAST/"
,
"ABC","http://abcnews.go.com/"
"US","http://abcnews.go.com/us"
"World","http://abcnews.go.com/international"
,
"CBS","http://www.cbsnews.com/"
"US News","http://www.cbsnews.com/us/"
"World News","http://www.cbsnews.com/world/"
,
"NBC","http://www.nbcnews.com/"
"US News","http://www.nbcnews.com/news/us-news"
"World News","http://www.nbcnews.com/news/world"
,
"Reuters","http://www.reuters.com/"
"World News","http://www.reuters.com/news/world"
"US News","http://www.reuters.com/news/us"
"Middle East","http://www.reuters.com/subjects/middle-east"
"Africa","http://www.reuters.com/places/africa"
"Russia","http://www.reuters.com/places/russia"
,
"The Guardian","http://www.theguardian.com/us"
"United States","http://www.theguardian.com/world/usa"
"World","http://www.theguardian.com/world"
"UK","http://www.theguardian.com/uk-news"
"Europe","http://www.theguardian.com/world/europe/roundup"
"China","http://www.theguardian.com/world/china"
"Middle East","http://www.theguardian.com/world/middleeast/roundup"
"Africa","http://www.theguardian.com/world/africa/roundup"
"South & Central Asia","http://www.theguardian.com/world/southandcentralasia/roundup"
"Asia Pacific","http://www.theguardian.com/world/asiapacific/roundup"
"Americas","http://www.theguardian.com/world/americas/roundup"
